player_name,year,rounds,measured_rounds,avg_off_tee,avg_approach,avg_around,avg_putting
Matt Gogel,2005,78,68,-0.158,-0.364,-0.056,0.384
Corey Pavin,2005,77,61,-1.008,0.556,0.521,0.38
Matt Kuchar,2005,60,56,-0.096,-0.337,-0.018,0.367
Luke Donald,2005,67,40,0.082,0.93,0.422,0.362
Tag Ridings,2005,93,84,0.054,-0.056,-0.267,0.36
Charlie Wi,2005,67,61,-0.274,-0.415,0.15,0.359
Olin Browne,2005,99,84,-0.105,0.407,-0.16,0.354
Patrick Sheehan,2005,114,97,-0.116,-0.144,-0.321,0.348
Jim Furyk,2005,94,72,0.096,0.982,0.422,0.347
Freddie Jacobson,2005,72,56,-0.281,0.096,-0.036,0.344
Zach Johnson,2005,96,83,0.49,0.08,0.021,0.33
Kent Jones,2005,99,88,-0.216,-0.217,0.098,0.329
Brett Quigley,2005,96,85,-0.024,0.056,0.396,0.329
Bob Heintz,2005,67,62,-0.361,-0.464,0.147,0.328
Larry Mize,2005,54,46,-0.215,-0.292,-0.079,0.328
Gavin Coles,2005,70,64,-0.527,-0.419,0.012,0.317
Tom Pernice Jr.,2005,111,89,0.157,0.116,0.143,0.308
David Toms,2005,87,64,0.201,0.546,0.174,0.305
Billy Andrade,2005,83,74,0.031,0.12,-0.063,0.298
Bart Bryant,2005,91,77,0.44,0.452,-0.12,0.298
Charles Howell III,2005,95,72,0.429,0.047,0.229,0.283
Rory Sabbatini,2005,81,60,0.176,-0.058,0.204,0.27
Phil Mickelson,2005,81,50,0.341,0.565,0.355,0.264
Shigeki Maruyama,2005,99,85,-0.117,0.721,0.316,0.261
Tjaart van der Walt,2005,56,54,-0.17,-0.656,-0.072,0.256
Steve Elkington,2005,67,55,0.143,-0.033,0.128,0.251
Kevin Sutherland,2005,89,74,-0.009,-0.01,0.366,0.251
Scott McCarron,2005,78,61,-0.103,-0.103,-0.146,0.247
J.P. Hayes,2005,63,53,-0.589,0.011,0.167,0.229
Chris DiMarco,2005,83,59,-0.229,0.762,0.058,0.225
Dan Forsman,2005,52,47,-0.295,0.332,0.129,0.205
Bo Van Pelt,2005,112,93,0.156,0.427,-0.163,0.196
Todd Fischer,2005,99,88,-0.329,-0.32,0.248,0.195
Davis Love III,2005,80,57,0.498,0.433,0.014,0.195
James Driscoll,2005,73,63,-0.078,-0.391,0.04,0.193
Padraig Harrington,2005,50,41,-0.343,-0.031,0.476,0.187
K.J. Choi,2005,78,54,0.392,-0.221,0.245,0.183
J.L. Lewis,2005,98,82,0.206,0.161,0.122,0.179
Daniel Chopra,2005,108,93,0.227,-0.152,0.091,0.176
Joe Ogilvie,2005,103,79,0.042,-0.254,0.13,0.174
Jason Allred,2005,75,64,-0.675,-0.463,-0.108,0.17
Bob Estes,2005,92,80,-0.06,0.676,0.121,0.169
Darron Stiles,2005,78,70,0.107,0.128,-0.063,0.167
Chad Campbell,2005,95,76,-0.06,0.476,0.113,0.165
Mario Tiziani,2005,67,61,0.164,-0.09,-0.384,0.161
Vijay Singh,2005,111,88,0.934,0.697,0.398,0.159
Hunter Mahan,2005,103,93,0.249,-0.018,-0.323,0.153
Tom Byrum,2005,83,76,-0.255,0.073,-0.123,0.151
Nick Watney,2005,91,80,0.082,-0.272,-0.163,0.151
Brandt Jobe,2005,96,82,0.429,0.314,-0.186,0.15
Arron Oberholser,2005,65,51,0.245,0.112,-0.042,0.149
Ryan Palmer,2005,101,81,0.053,-0.026,-0.372,0.149
Shaun Micheel,2005,81,64,0.052,0.14,-0.226,0.146
Bernhard Langer,2005,67,46,-0.218,0.39,0.176,0.145
Michael Allen,2005,90,77,-0.26,-0.03,0.279,0.138
Hunter Haas,2005,83,73,-0.359,0.162,-0.046,0.137
Mark Wilson,2005,74,64,-0.336,-0.199,0.274,0.136
Rod Pampling,2005,89,70,0.353,0.302,0.033,0.134
Sean O'Hair,2005,103,86,0.549,0.004,-0.324,0.133
Paul Azinger,2005,66,59,-0.336,-0.267,0.268,0.126
Geoff Ogilvy,2005,97,75,0.189,0.029,0.198,0.124
Fred Funk,2005,102,82,-0.018,0.427,0.072,0.12
Ian Poulter,2005,62,36,0.043,-0.31,-0.37,0.095
Retief Goosen,2005,71,43,0.281,0.336,-0.034,0.088
Robert Gamez,2005,91,81,0.14,0.178,-0.232,0.086
Hank Kuehne,2005,84,75,-0.047,-0.599,-0.275,0.077
Briny Baird,2005,98,89,0.2,0.105,-0.068,0.068
Kevin Na,2005,88,80,-0.262,-0.058,0.143,0.063
Rob Rashell,2005,65,55,-0.453,-0.354,-0.181,0.056
Carl Pettersson,2005,109,94,-0.235,0.394,0.18,0.055
Scott Gutschewski,2005,86,72,0.458,0.112,-0.07,0.044
John Cook,2005,72,59,-0.171,-0.037,-0.17,0.039
Glen Day,2005,80,74,-0.113,-0.323,0.206,0.039
Duffy Waldorf,2005,86,71,-0.249,0.154,-0.019,0.029
Jason Bohn,2005,91,82,0.189,0.435,0.019,0.027
Adam Scott,2005,72,52,0.441,0.566,0.024,0.016
Steve Flesch,2005,90,64,-0.17,-0.438,0.186,0.015
Steve Lowery,2005,100,87,0.113,0.098,-0.114,0.013
Jeff Sluman,2005,94,85,-0.029,0.356,0.044,0.009
Todd Hamilton,2005,94,75,0.199,-0.032,-0.31,0.004
Jeff Brehaut,2005,71,63,0.048,0.633,-0.006,-0.004
Jerry Kelly,2005,101,76,0.336,0.292,0.115,-0.008
Mark Calcavecchia,2005,92,77,0.348,0.586,-0.204,-0.012
Justin Leonard,2005,78,55,-0.031,0.393,0.202,-0.016
Stephen Leaney,2005,89,76,-0.182,0.331,0.303,-0.019
Lee Janzen,2005,75,60,-0.789,0.245,0.353,-0.023
Hidemichi Tanaka,2005,106,95,0.051,0.071,0.015,-0.028
Jay Haas,2005,54,39,-0.218,0.615,0.126,-0.042
Pat Perez,2005,89,74,0.184,-0.178,0.09,-0.046
John Senden,2005,101,91,0.297,0.362,-0.06,-0.046
Joey Snyder III,2005,102,92,0.49,0.177,-0.349,-0.047
Cameron Beckman,2005,96,85,-0.05,-0.022,0.028,-0.052
John Elliott,2005,58,52,-0.138,-1.114,0.086,-0.054
Jonathan Byrd,2005,103,94,0.104,-0.037,0.181,-0.056
